Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 143/200 /// Total reward: 10.191153573108762
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 144/200 /// Total reward: 11.353715448130805
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 145/200 /// Total reward: 10.858598065969856
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 146/200 /// Total reward: 10.858598925298326
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 147/200 /// Total reward: 10.690320295687949
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 148/200 /// Total reward: 10.025266435384383
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 149/200 /// Total reward: 10.52448658113459
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 150/200 /// Total reward: 11.024486071631122
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 151/200 /// Total reward: 11.524486428008109
Policy: CAPS/DPMORL/experiments/highway_test/DPMORL.Highway.LossNormLamda_0.1/policy-pretrain-0 /// Ep. 152/200 /// Total reward: 10.190320794608544
